price,price_per_m2,area,district,floors,toilets,bedrooms,balcony,street_frontage,legal,interior,date,district_encoded
73 triệu/m²,"~5,62 tỷ",77.0,Hà Đông,,,2 phòng,1,0.0,1,1,2025-03-03,9
"5,5 tỷ","~47,41 triệu/m²",116.0,Hà Đông,,2 phòng,3 phòng,0,0.0,1,1,2025-03-03,9
"16,7 tỷ","~245,59 triệu/m²",68.0,Cầu Giấy,6 tầng,,,0,0.0,1,0,2025-03-03,3
Thỏa thuận,,95.0,Hà Đông,,,,0,6.0,0,0,2025-03-03,9
20 tỷ,"~222,22 triệu/m²",90.0,Hà Đông,5 tầng,6 phòng,5 phòng,0,0.0,1,0,2025-03-03,9
8 tỷ,"~88,89 triệu/m²",90.0,Thanh Xuân,,2 phòng,3 phòng,1,0.0,1,1,2025-03-03,20
"2,9 tỷ","~67,44 triệu/m²",43.0,Nam Từ Liêm,,1 phòng,2 phòng,0,0.0,1,0,2025-03-03,12
96 tỷ,"~969,7 triệu/m²",99.0,Ba Đình,9 tầng,9 phòng,9 phòng,0,9.0,1,1,2025-03-03,0
28 tỷ,"~269,23 triệu/m²",104.0,Thanh Xuân,4 tầng,4 phòng,6 phòng,0,5.0,1,1,2025-03-03,20
260 triệu/m²,"~97,5 tỷ",375.0,Long Biên,4 tầng,4 phòng,4 phòng,1,50.0,1,1,2025-03-03,10
120 tỷ,"~718,56 triệu/m²",167.0,Cầu Giấy,9 tầng,10 phòng,9 phòng,0,11.0,1,1,2025-03-03,3
73 triệu/m²,"~5,14 tỷ",70.4,Thanh Xuân,,,,0,0.0,0,0,2025-03-03,20
"4,9 tỷ","~74,24 triệu/m²",66.0,Nam Từ Liêm,,2 phòng,2 phòng,0,0.0,1,1,2025-03-03,12
270 triệu/m²,"~14,58 tỷ",54.0,Ba Đình,5 tầng,4 phòng,3 phòng,0,4.0,1,1,2025-03-03,0
Thỏa thuận,,90.0,Long Biên,5 tầng,,,1,6.0,1,1,2025-03-03,10
50 tỷ,"~312,5 triệu/m²",160.0,Tây Hồ,8 tầng,29 phòng,25 phòng,1,8.0,1,1,2025-03-03,23
"11,3 tỷ","~295,01 triệu/m²",38.3,Đống Đa,6 tầng,6 phòng,5 phòng,1,0.0,1,1,2025-03-03,26
430 triệu/m²,"~120,4 tỷ",280.0,Tây Hồ,3 tầng,3 phòng,3 phòng,1,8.2,1,1,2025-03-03,23
210 tỷ,"~714,77 triệu/m²",293.8,Đông Anh,4 tầng,,,1,0.0,1,1,2025-03-03,25
"5,8 tỷ","~165,71 triệu/m²",35.0,Long Biên,5 tầng,4 phòng,3 phòng,0,0.0,1,1,2025-03-03,10
"16,4 tỷ","~182,22 triệu/m²",90.0,Hà Đông,4 tầng,4 phòng,4 phòng,0,4.5,1,1,2025-03-03,9
Thỏa thuận,,260.0,Hà Đông,4 tầng,6 phòng,6 phòng,0,0.0,1,0,2025-03-03,9
16 tỷ,~320 triệu/m²,50.0,Đống Đa,5 tầng,4 phòng,6 phòng,0,4.0,1,1,2025-03-03,26
18 tỷ,"~222,22 triệu/m²",81.0,Đống Đa,5 tầng,5 phòng,5 phòng,0,0.0,1,0,2025-03-03,26
"6,2 tỷ","~119,23 triệu/m²",52.0,Hai Bà Trưng,3 tầng,3 phòng,3 phòng,1,3.8,0,0,2025-03-03,5
"6,5 tỷ","~232,14 triệu/m²",28.0,Đống Đa,4 tầng,3 phòng,3 phòng,0,3.6,1,1,2025-03-03,26
"5,4 tỷ","~158,82 triệu/m²",34.0,Hà Đông,2 tầng,1 phòng,2 phòng,0,0.0,1,1,2025-03-03,9
"6,8 tỷ","~161,9 triệu/m²",42.0,Cầu Giấy,5 tầng,3 phòng,4 phòng,0,0.0,1,1,2025-03-03,3
"26,9 tỷ","~448,33 triệu/m²",60.0,Hai Bà Trưng,8 tầng,8 phòng,9 phòng,0,4.2,1,1,2025-03-03,5
9 tỷ,~90 triệu/m²,100.0,Thanh Xuân,,,8 phòng,1,20.0,1,1,2025-03-03,20
"21,7 tỷ","~452,08 triệu/m²",48.0,Hoàng Mai,7 tầng,6 phòng,5 phòng,0,4.0,1,0,2025-03-03,8
"9,5 tỷ","~90,48 triệu/m²",105.0,Thanh Xuân,,,3 phòng,0,0.0,0,0,2025-03-03,20
Thỏa thuận,,119.0,Hai Bà Trưng,,2 phòng,3 phòng,1,0.0,1,0,2025-03-03,5
13 tỷ,"~228,07 triệu/m²",57.0,Hai Bà Trưng,5 tầng,10 phòng,10 phòng,0,0.0,1,1,2025-03-03,5
"2,61 tỷ","~86,83 triệu/m²",30.0,Chương Mỹ,3 tầng,3 phòng,3 phòng,0,4.0,1,1,2025-03-03,2
35 tỷ,"~284,55 triệu/m²",123.0,Nam Từ Liêm,8 tầng,18 phòng,34 phòng,0,0.0,1,1,2025-03-03,12
"3,45 tỷ",~50 triệu/m²,69.0,Đông Anh,,2 phòng,2 phòng,0,0.0,1,0,2025-03-03,25
8 tỷ,"~76,92 triệu/m²",104.0,Thanh Xuân,,2 phòng,3 phòng,1,0.0,1,1,2025-03-03,20
6 tỷ,"~56,6 triệu/m²",106.0,Hà Đông,,2 phòng,3 phòng,1,0.0,1,1,2025-03-03,9
"8,5 tỷ","~212,5 triệu/m²",40.0,Hai Bà Trưng,6 tầng,,3 phòng,0,4.2,1,1,2025-03-03,5
Thỏa thuận,,44.0,Gia Lâm,,1 phòng,1 phòng,1,0.0,1,1,2025-03-03,4
"14,2 tỷ","~330,23 triệu/m²",43.0,Thanh Xuân,6 tầng,4 phòng,4 phòng,0,3.8,1,1,2025-03-03,20
"2,2 tỷ","~64,71 triệu/m²",34.0,Gia Lâm,,1 phòng,1 phòng,0,0.0,0,0,2025-03-03,4
"16,5 tỷ","~366,67 triệu/m²",45.0,Đống Đa,5 tầng,4 phòng,4 phòng,0,4.4,1,1,2025-03-03,26
Thỏa thuận,,200.0,Đan Phượng,,,,0,0.0,0,0,2025-03-03,24
"5,25 tỷ","~66,46 triệu/m²",79.0,Hoài Đức,4 tầng,4 phòng,4 phòng,1,3.5,1,0,2025-03-03,6
"11,5 tỷ","~255,56 triệu/m²",45.0,Hà Đông,5 tầng,7 phòng,4 phòng,0,4.0,1,1,2025-03-03,9
Thỏa thuận,,400.0,Đan Phượng,4 tầng,,,0,16.0,1,1,2025-03-03,24
"16,8 tỷ","~305,46 triệu/m²",55.0,Hà Đông,7 tầng,7 phòng,4 phòng,0,5.0,1,1,2025-03-03,9
"16,35 tỷ","~95,06 triệu/m²",172.0,Cầu Giấy,,3 phòng,3 phòng,0,0.0,1,1,2025-03-03,3
46 tỷ,"~213,95 triệu/m²",215.0,Cầu Giấy,,,,0,7.5,0,0,2025-03-03,3
75 tỷ,~375 triệu/m²,200.0,Cầu Giấy,5 tầng,5 phòng,6 phòng,0,14.0,1,1,2025-03-03,3
"4,15 tỷ","~129,69 triệu/m²",32.0,Hoài Đức,5 tầng,4 phòng,3 phòng,0,3.6,1,1,2025-03-03,6
"7,7 tỷ","~88,51 triệu/m²",87.0,Hai Bà Trưng,,2 phòng,3 phòng,0,0.0,1,1,2025-03-03,5
"3,99 tỷ","~62,34 triệu/m²",64.0,Gia Lâm,,2 phòng,2 phòng,1,0.0,1,1,2025-03-03,4
26 tỷ,"~302,33 triệu/m²",86.0,Hà Đông,6 tầng,7 phòng,9 phòng,0,6.8,1,1,2025-03-03,9
"2,78 tỷ","~64,5 triệu/m²",43.1,Gia Lâm,,2 phòng,2 phòng,0,0.0,0,1,2025-03-03,4
"5,1 tỷ","~58,15 triệu/m²",87.7,Gia Lâm,,2 phòng,3 phòng,0,0.0,0,0,2025-03-03,4
"11,7 tỷ",~234 triệu/m²,50.0,Cầu Giấy,6 tầng,5 phòng,6 phòng,0,5.0,1,1,2025-03-03,3
16 tỷ,"~89,38 triệu/m²",179.0,Nam Từ Liêm,,5 phòng,5 phòng,1,0.0,1,1,2025-03-03,12
"13,18 tỷ","~209,21 triệu/m²",63.0,Long Biên,6 tầng,5 phòng,6 phòng,1,3.5,1,1,2025-03-03,10
"34,5 tỷ","~191,67 triệu/m²",180.0,Hà Đông,4 tầng,,,0,9.0,1,0,2025-03-03,9
"3,1 tỷ",~50 triệu/m²,62.0,Hà Đông,,2 phòng,2 phòng,0,0.0,1,1,2025-03-03,9
"12,8 tỷ",~256 triệu/m²,50.0,Hà Đông,5 tầng,,,0,5.0,1,0,2025-03-03,9
18 tỷ,"~126,76 triệu/m²",142.0,Đống Đa,,,3 phòng,0,0.0,1,1,2025-03-03,26
"6,46 tỷ",~190 triệu/m²,34.0,Nam Từ Liêm,6 tầng,5 phòng,4 phòng,1,3.3,1,0,2025-03-03,12
"6,7 tỷ","~73,22 triệu/m²",91.5,Nam Từ Liêm,,2 phòng,3 phòng,0,0.0,1,1,2025-03-03,12
"5,58 tỷ","~111,6 triệu/m²",50.0,Hoàng Mai,1 tầng,2 phòng,2 phòng,0,5.0,1,1,2025-03-03,8
"5,65 tỷ","~56,5 triệu/m²",100.0,Nam Từ Liêm,,2 phòng,3 phòng,1,0.0,1,1,2025-03-03,12
"6,6 tỷ","~90,41 triệu/m²",73.0,Thanh Xuân,,2 phòng,2 phòng,1,0.0,1,1,2025-03-03,20
"17,5 tỷ","~203,49 triệu/m²",86.0,Hà Đông,5 tầng,5 phòng,6 phòng,0,4.5,1,1,2025-03-03,9
"13,8 tỷ","~250,91 triệu/m²",55.0,Hà Đông,6 tầng,5 phòng,4 phòng,0,5.0,1,0,2025-03-03,9
Thỏa thuận,,28.6,Nam Từ Liêm,,1 phòng,1 phòng,0,0.0,0,1,2025-03-03,12
Thỏa thuận,,74.83,Hai Bà Trưng,,2 phòng,2 phòng,1,0.0,0,0,2025-03-03,5
39 tỷ,"~453,49 triệu/m²",86.0,Hà Đông,,2 phòng,2 phòng,0,0.0,0,1,2025-03-03,9
8 tỷ,"~166,67 triệu/m²",48.0,Đống Đa,5 tầng,3 phòng,4 phòng,0,4.4,0,0,2025-03-03,26
Thỏa thuận,,68.0,Gia Lâm,,2 phòng,2 phòng,0,0.0,1,0,2025-03-03,4
Thỏa thuận,,70.0,Long Biên,4 tầng,3 phòng,4 phòng,1,4.0,1,1,2025-03-03,10
"2,35 tỷ","~75,81 triệu/m²",31.0,Chương Mỹ,4 tầng,3 phòng,3 phòng,0,3.5,1,1,2025-03-03,2
"4,5 tỷ",~60 triệu/m²,75.0,Thanh Trì,,2 phòng,2 phòng,1,0.0,1,1,2025-03-03,19
26 tỷ,"~96,65 triệu/m²",269.0,Thanh Xuân,,3 phòng,4 phòng,1,0.0,1,1,2025-03-03,20
"10,5 tỷ","~53,03 triệu/m²",198.0,Nam Từ Liêm,,2 phòng,4 phòng,1,0.0,1,1,2025-03-03,12
"3,31 tỷ","~87,08 triệu/m²",38.0,Đống Đa,,2 phòng,2 phòng,0,0.0,1,0,2025-03-03,26
"4,2 tỷ","~56,76 triệu/m²",74.0,Hoàng Mai,,2 phòng,2 phòng,1,0.0,1,1,2025-03-03,8
"9,5 tỷ","~169,64 triệu/m²",56.0,Bắc Từ Liêm,4 tầng,3 phòng,4 phòng,0,0.0,1,1,2025-03-03,1
Thỏa thuận,,112.0,Hoàng Mai,7 tầng,27 phòng,27 phòng,0,8.8,1,1,2025-03-03,8
"7,1 tỷ","~71,72 triệu/m²",99.0,Tây Hồ,,2 phòng,3 phòng,1,0.0,1,1,2025-03-03,23
145 triệu/m²,"~6,09 tỷ",42.0,Hoàng Mai,5 tầng,3 phòng,4 phòng,0,3.6,1,1,2025-03-03,8
26 tỷ,"~226,09 triệu/m²",115.0,Tây Hồ,6 tầng,5 phòng,4 phòng,0,7.1,1,1,2025-03-03,23
"4,82 tỷ","~69,24 triệu/m²",69.6,Nam Từ Liêm,,2 phòng,3 phòng,1,0.0,1,1,2025-03-03,12
"6,5 tỷ","~70,04 triệu/m²",92.81,Nam Từ Liêm,,2 phòng,3 phòng,1,0.0,1,1,2025-03-03,12
"4,8 tỷ","~63,16 triệu/m²",76.0,Nam Từ Liêm,,2 phòng,2 phòng,0,0.0,1,0,2025-03-03,12
9 tỷ,~180 triệu/m²,50.0,Bắc Từ Liêm,,,5 phòng,0,4.1,1,1,2025-03-03,1
Thỏa thuận,,160.0,Cầu Giấy,,2 phòng,3 phòng,1,0.0,1,1,2025-03-03,3
Thỏa thuận,,150.0,Nam Từ Liêm,4 tầng,5 phòng,6 phòng,0,9.0,1,1,2025-03-03,12
160 triệu/m²,"~26,72 tỷ",167.0,Nam Từ Liêm,,,,0,0.0,1,0,2025-03-03,12
"6,9 tỷ","~168,29 triệu/m²",41.0,Thanh Trì,4 tầng,3 phòng,4 phòng,0,4.0,1,1,2025-03-03,19
Thỏa thuận,,280.0,Gia Lâm,4 tầng,,,0,14.0,1,0,2025-03-03,4
"2,1 tỷ","~35,06 triệu/m²",59.9,Thanh Trì,,2 phòng,2 phòng,0,0.0,0,0,2025-03-03,19
Thỏa thuận,,145.0,Cầu Giấy,,2 phòng,3 phòng,1,0.0,1,1,2025-03-03,3
"17,5 tỷ","~233,33 triệu/m²",75.0,Hà Đông,5 tầng,6 phòng,4 phòng,0,7.0,1,1,2025-03-03,9
"5,1 tỷ","~76,12 triệu/m²",67.0,Nam Từ Liêm,,2 phòng,2 phòng,1,0.0,1,1,2025-03-03,12
"10,8 tỷ","~54,54 triệu/m²",198.0,Hoàng Mai,,2 phòng,2 phòng,1,0.0,1,1,2025-03-03,8
Thỏa thuận,,100.0,Nam Từ Liêm,,,,0,5.0,1,0,2025-03-03,12
40 tỷ,"~296,3 triệu/m²",135.0,Hà Đông,5 tầng,,,0,7.5,1,0,2025-03-03,9
"5,98 tỷ","~186,88 triệu/m²",32.0,Đống Đa,4 tầng,4 phòng,3 phòng,1,3.5,1,1,2025-03-03,26
"14,5 tỷ","~223,08 triệu/m²",65.0,Hai Bà Trưng,,13 phòng,13 phòng,0,0.0,1,1,2025-03-03,5
"8,98 tỷ","~160,36 triệu/m²",56.0,Hoàng Mai,4 tầng,3 phòng,3 phòng,0,4.8,1,1,2025-03-03,8
"9,5 tỷ","~65,07 triệu/m²",146.0,Ba Đình,,2 phòng,3 phòng,0,0.0,1,1,2025-03-03,0
Thỏa thuận,,70.0,Long Biên,6 tầng,5 phòng,5 phòng,0,4.0,1,1,2025-03-03,10
"3,6 tỷ","~52,94 triệu/m²",68.0,Gia Lâm,,2 phòng,2 phòng,1,0.0,1,1,2025-03-03,4
"10,8 tỷ","~81,2 triệu/m²",133.0,Bắc Từ Liêm,,3 phòng,4 phòng,1,0.0,1,1,2025-03-03,1
Thỏa thuận,,96.0,Đan Phượng,4 tầng,3 phòng,5 phòng,0,0.0,0,0,2025-03-03,24
Thỏa thuận,,80.0,Đông Anh,5 tầng,5 phòng,5 phòng,1,6.0,1,1,2025-03-03,25
95 triệu/m²,"~10,26 tỷ",108.0,Nam Từ Liêm,,,,0,0.0,1,1,2025-03-03,12
"5,8 tỷ","~193,33 triệu/m²",30.0,Ba Đình,4 tầng,3 phòng,3 phòng,0,0.0,1,1,2025-03-03,0
56 tỷ,"~231,4 triệu/m²",242.0,Hoài Đức,4 tầng,6 phòng,5 phòng,0,11.0,1,1,2025-03-03,6
Thỏa thuận,,225.0,Hà Đông,,2 phòng,3 phòng,1,0.0,1,1,2025-03-03,9
"7,85 tỷ","~89,2 triệu/m²",88.0,Cầu Giấy,,2 phòng,2 phòng,0,0.0,1,1,2025-03-03,3
"14,5 tỷ","~176,83 triệu/m²",82.0,Hai Bà Trưng,,12 phòng,12 phòng,0,0.0,1,1,2025-03-03,5
10 tỷ,"~114,94 triệu/m²",87.0,Thường Tín,5 tầng,7 phòng,6 phòng,1,5.0,1,0,2025-03-03,21
"7,1 tỷ","~215,15 triệu/m²",33.0,Tây Hồ,5 tầng,4 phòng,3 phòng,0,0.0,1,1,2025-03-03,23
5 tỷ,"~156,25 triệu/m²",32.0,Bắc Từ Liêm,,,,0,0.0,0,0,2025-03-03,1
32 tỷ,"~310,68 triệu/m²",103.0,Cầu Giấy,4 tầng,3 phòng,4 phòng,0,0.0,1,0,2025-03-03,3
Thỏa thuận,,72.0,Hà Đông,,2 phòng,2 phòng,1,0.0,1,1,2025-03-03,9
Thỏa thuận,,136.0,Đông Anh,4 tầng,,,1,8.0,1,1,2025-03-03,25
215 triệu/m²,"~27,09 tỷ",126.0,Hoài Đức,5 tầng,4 phòng,5 phòng,1,6.0,1,0,2025-03-03,6
Thỏa thuận,,134.0,Thanh Trì,,3 phòng,4 phòng,1,0.0,1,1,2025-03-03,19
11 tỷ,~220 triệu/m²,50.0,Hà Đông,5 tầng,5 phòng,6 phòng,0,5.0,1,1,2025-03-03,9
"4,5 tỷ","~72,93 triệu/m²",61.7,Nam Từ Liêm,,2 phòng,2 phòng,1,0.0,1,1,2025-03-03,12
"4,8 tỷ",~64 triệu/m²,75.0,Nam Từ Liêm,,2 phòng,2 phòng,1,0.0,1,1,2025-03-03,12
Thỏa thuận,,77.8,Hà Đông,,,,0,0.0,1,1,2025-03-03,9
9 tỷ,"~56,6 triệu/m²",159.0,Cầu Giấy,,3 phòng,3 phòng,0,0.0,1,1,2025-03-03,3
17 tỷ,"~267,72 triệu/m²",63.5,Hà Đông,6 tầng,5 phòng,10 phòng,1,7.0,0,1,2025-03-03,9
Thỏa thuận,,85.0,Nam Từ Liêm,,2 phòng,2 phòng,0,0.0,1,1,2025-03-03,12
Thỏa thuận,,106.0,Nam Từ Liêm,,2 phòng,3 phòng,0,0.0,1,1,2025-03-03,12
"6,5 tỷ","~103,18 triệu/m²",63.0,Thanh Xuân,,2 phòng,2 phòng,1,0.0,1,1,2025-03-03,20
"11,8 tỷ",~236 triệu/m²,50.0,Thanh Xuân,7 tầng,12 phòng,12 phòng,1,5.0,1,1,2025-03-03,20
27 tỷ,"~415,38 triệu/m²",65.0,Hà Đông,7 tầng,6 phòng,10 phòng,1,6.5,1,1,2025-03-03,9
27 tỷ,"~317,65 triệu/m²",85.0,Hà Đông,5 tầng,4 phòng,4 phòng,0,5.0,1,1,2025-03-03,9
"26,8 tỷ","~257,69 triệu/m²",104.0,Ba Đình,8 tầng,36 phòng,34 phòng,0,8.0,1,1,2025-03-03,0
Thỏa thuận,,266.4,Cầu Giấy,,4 phòng,4 phòng,1,0.0,1,1,2025-03-03,3
"22,5 tỷ","~321,43 triệu/m²",70.0,Cầu Giấy,4 tầng,5 phòng,4 phòng,0,0.0,1,0,2025-03-03,3
"10,2 tỷ","~275,68 triệu/m²",37.0,Long Biên,6 tầng,5 phòng,3 phòng,0,4.0,1,1,2025-03-03,10
Thỏa thuận,,50.0,Nam Từ Liêm,,,,0,0.0,0,0,2025-03-03,12
"5,5 tỷ","~52,38 triệu/m²",105.0,Nam Từ Liêm,,2 phòng,3 phòng,1,0.0,1,1,2025-03-03,12
"34,8 tỷ","~316,36 triệu/m²",110.0,Hà Đông,5 tầng,4 phòng,5 phòng,0,5.0,1,1,2025-03-03,9
"5,2 tỷ","~37,14 triệu/m²",140.0,Long Biên,,2 phòng,3 phòng,1,0.0,1,1,2025-03-03,10
"5,48 tỷ","~64,47 triệu/m²",85.0,Hoàng Mai,,2 phòng,2 phòng,0,0.0,0,0,2025-03-03,8
270 triệu/m²,~27 tỷ,100.0,Hà Đông,4 tầng,4 phòng,4 phòng,0,5.0,1,0,2025-03-03,9
Thỏa thuận,,86.0,Nam Từ Liêm,,2 phòng,2 phòng,0,0.0,1,1,2025-03-03,12
Thỏa thuận,,42.0,Đông Anh,,1 phòng,1 phòng,1,0.0,1,1,2025-03-03,25
Thỏa thuận,,306.0,Hà Đông,3 tầng,,,0,0.0,1,0,2025-03-03,9
123 tỷ,"~768,75 triệu/m²",160.0,Tây Hồ,3 tầng,3 phòng,3 phòng,0,0.0,1,1,2025-03-03,23
23 tỷ,"~294,87 triệu/m²",78.0,Ba Đình,8 tầng,16 phòng,7 phòng,0,10.0,1,1,2025-03-03,0
1 tỷ,"~28,57 triệu/m²",35.0,Nam Từ Liêm,,1 phòng,1 phòng,0,0.0,1,1,2025-03-03,12
Thỏa thuận,,76.0,Hà Đông,,2 phòng,2 phòng,0,0.0,0,0,2025-03-03,9
"7,6 tỷ",~95 triệu/m²,80.0,Thanh Xuân,,2 phòng,3 phòng,1,0.0,1,1,2025-03-03,20
"4,2 tỷ",~70 triệu/m²,60.0,Nam Từ Liêm,,1 phòng,2 phòng,0,0.0,1,1,2025-03-03,12
Thỏa thuận,,77.0,Thanh Trì,,2 phòng,2 phòng,1,0.0,1,1,2025-03-03,19
"3,85 tỷ",~110 triệu/m²,35.0,Hà Đông,5 tầng,4 phòng,3 phòng,1,4.2,1,1,2025-03-03,9
Thỏa thuận,,108.0,Phú Xuyên,,,,0,6.0,0,0,2025-03-03,13
"5,8 tỷ","~72,23 triệu/m²",80.3,Nam Từ Liêm,,2 phòng,2 phòng,1,0.0,1,1,2025-03-03,12
Thỏa thuận,,266.0,Hoàng Mai,4 tầng,6 phòng,6 phòng,1,12.0,1,0,2025-03-03,8
Thỏa thuận,,35.0,Đan Phượng,5 tầng,4 phòng,3 phòng,0,4.0,1,1,2025-03-03,24
"7,15 tỷ","~198,61 triệu/m²",36.0,Đống Đa,5 tầng,3 phòng,3 phòng,1,4.0,1,1,2025-03-03,26
Thỏa thuận,,90.0,Hoàng Mai,5 tầng,5 phòng,6 phòng,1,6.0,0,0,2025-03-03,8
Thỏa thuận,,88.0,Nam Từ Liêm,,,2 phòng,0,0.0,0,1,2025-03-03,12
"5,8 tỷ","~59,79 triệu/m²",97.0,Long Biên,,2 phòng,3 phòng,1,0.0,1,0,2025-03-03,10
"7,3 tỷ","~70,6 triệu/m²",103.4,Nam Từ Liêm,,2 phòng,3 phòng,1,0.0,1,1,2025-03-03,12
"4,5 tỷ","~56,25 triệu/m²",80.0,Hoàng Mai,,,,0,0.0,0,0,2025-03-03,8
"9,6 tỷ","~266,67 triệu/m²",36.0,Hà Đông,5 tầng,6 phòng,6 phòng,0,3.6,1,0,2025-03-03,9
4 tỷ,~50 triệu/m²,80.0,Nam Từ Liêm,,2 phòng,2 phòng,0,0.0,1,1,2025-03-03,12
5 tỷ,"~74,63 triệu/m²",67.0,Nam Từ Liêm,,2 phòng,2 phòng,1,0.0,1,1,2025-03-03,12
34 tỷ,"~265,62 triệu/m²",128.0,Bắc Từ Liêm,5 tầng,7 phòng,7 phòng,1,6.4,1,1,2025-03-04,1
Thỏa thuận,,114.0,Cầu Giấy,,2 phòng,3 phòng,0,0.0,0,1,2025-03-04,3
"36,5 tỷ","~328,83 triệu/m²",111.0,Hai Bà Trưng,3 tầng,1 phòng,1 phòng,0,0.0,1,0,2025-03-04,5
"14,5 tỷ","~256,64 triệu/m²",56.5,Hoàng Mai,5 tầng,5 phòng,8 phòng,1,4.0,1,1,2025-03-04,8
24 tỷ,"~169,01 triệu/m²",142.0,Gia Lâm,4 tầng,,,0,8.3,1,0,2025-03-04,4
6 tỷ,"~171,43 triệu/m²",35.0,Nam Từ Liêm,4 tầng,,,0,4.8,1,1,2025-03-04,12
"11,8 tỷ","~248,42 triệu/m²",47.5,Đống Đa,6 tầng,6 phòng,10 phòng,1,4.0,1,1,2025-03-04,26
"6,1 tỷ","~80,26 triệu/m²",76.0,Tây Hồ,,2 phòng,1 phòng,0,0.0,1,1,2025-03-04,23
Thỏa thuận,,96.0,Đan Phượng,4 tầng,,,1,0.0,1,0,2025-03-04,24
"8,8 tỷ","~129,41 triệu/m²",68.0,Ba Đình,,2 phòng,2 phòng,1,0.0,1,1,2025-03-04,0
7 tỷ,"~90,32 triệu/m²",77.5,Cầu Giấy,,2 phòng,2 phòng,0,0.0,1,1,2025-03-04,3
4 tỷ,"~62,5 triệu/m²",64.0,Nam Từ Liêm,,2 phòng,2 phòng,1,0.0,1,1,2025-03-04,12
Thỏa thuận,,74.83,Hai Bà Trưng,,2 phòng,2 phòng,1,0.0,0,0,2025-03-04,5
"7,1 tỷ",~355 triệu/m²,20.0,Thanh Xuân,4 tầng,3 phòng,3 phòng,0,4.0,1,1,2025-03-04,20
Thỏa thuận,,100.0,Hoài Đức,5 tầng,,,0,5.0,0,0,2025-03-04,6
"3,2 tỷ","~54,15 triệu/m²",59.1,Nam Từ Liêm,,1 phòng,2 phòng,0,0.0,1,1,2025-03-04,12
"22,2 tỷ","~246,67 triệu/m²",90.0,Đống Đa,8 tầng,27 phòng,27 phòng,0,8.0,1,1,2025-03-04,26
"5,1 tỷ",~85 triệu/m²,60.0,Tây Hồ,,2 phòng,2 phòng,1,0.0,1,1,2025-03-04,23
Thỏa thuận,,86.5,Nam Từ Liêm,,2 phòng,2 phòng,1,0.0,1,1,2025-03-04,12
Thỏa thuận,,59.0,Bắc Từ Liêm,7 tầng,,17 phòng,0,0.0,1,1,2025-03-04,1
93 tỷ,"~166,67 triệu/m²",558.0,Hoàng Mai,3 tầng,3 phòng,3 phòng,0,15.0,1,1,2025-03-04,8
"12,7 tỷ","~89,44 triệu/m²",142.0,Cầu Giấy,,2 phòng,3 phòng,0,0.0,1,1,2025-03-04,3
"6,45 tỷ","~184,29 triệu/m²",35.0,Hà Đông,5 tầng,4 phòng,5 phòng,1,3.5,1,1,2025-03-04,9
"3,2 tỷ","~74,42 triệu/m²",43.0,Hà Đông,4 tầng,4 phòng,3 phòng,0,0.0,1,1,2025-03-04,9
5 tỷ,"~119,05 triệu/m²",42.0,Nam Từ Liêm,5 tầng,,,0,0.0,1,0,2025-03-04,12
"3,85 tỷ","~64,17 triệu/m²",60.0,Cầu Giấy,,,2 phòng,0,0.0,1,1,2025-03-04,3
"4,7 tỷ","~61,04 triệu/m²",77.0,Long Biên,,2 phòng,2 phòng,1,0.0,1,1,2025-03-04,10
41 tỷ,~200 triệu/m²,205.0,Hà Đông,3 tầng,,4 phòng,0,9.0,1,1,2025-03-04,9
"6,5 tỷ","~92,86 triệu/m²",70.0,Cầu Giấy,,2 phòng,2 phòng,1,0.0,1,1,2025-03-04,3
"13,6 tỷ","~217,95 triệu/m²",62.4,Cầu Giấy,7 tầng,9 phòng,11 phòng,0,4.7,1,1,2025-03-04,3
"14,5 tỷ","~170,59 triệu/m²",85.0,Đống Đa,,25 phòng,35 phòng,1,0.0,1,1,2025-03-04,26
20 tỷ,"~307,69 triệu/m²",65.0,Đống Đa,7 tầng,,,0,0.0,1,1,2025-03-04,26
"11,68 tỷ","~274,18 triệu/m²",42.6,Cầu Giấy,4 tầng,,4 phòng,0,0.0,1,0,2025-03-04,3
"3,5 tỷ","~71,43 triệu/m²",49.0,Nam Từ Liêm,,1 phòng,1 phòng,0,0.0,1,1,2025-03-04,12
56 tỷ,~224 triệu/m²,250.0,Hà Đông,4 tầng,,,0,0.0,1,1,2025-03-04,9
14 tỷ,"~219,78 triệu/m²",63.7,Hoài Đức,7 tầng,,4 phòng,0,4.0,1,0,2025-03-04,6
8 tỷ,"~85,11 triệu/m²",94.0,Nam Từ Liêm,,2 phòng,3 phòng,1,0.0,1,1,2025-03-04,12
"3,9 tỷ","~121,88 triệu/m²",32.0,Hoài Đức,5 tầng,3 phòng,4 phòng,0,3.5,1,1,2025-03-04,6
"26,3 tỷ",~263 triệu/m²,100.0,Bắc Từ Liêm,6 tầng,9 phòng,8 phòng,0,0.0,1,0,2025-03-04,1
"5,2 tỷ","~85,61 triệu/m²",60.74,Tây Hồ,,,2 phòng,1,0.0,1,1,2025-03-04,23
6 tỷ,"~69,77 triệu/m²",86.0,Thanh Trì,,2 phòng,3 phòng,1,0.0,1,1,2025-03-04,19
105 tỷ,"~406,98 triệu/m²",258.0,Tây Hồ,6 tầng,,,0,10.5,0,0,2025-03-04,23
"10,96 tỷ","~219,2 triệu/m²",50.0,Thanh Xuân,5 tầng,6 phòng,5 phòng,0,5.0,1,1,2025-03-04,20
